Lady Macbeth,DS,Building a REST API for manipulating political pawns
Fred Astaire,CS,Creating an app for enjoying ball-room dancing
Ann Coulter,CS,Creating a web interface for ranting about liberals
Stevie Wonder,CS,Creating a web interface for singing pop songs
Tony Robbins,CS,Creating a web interface for giving self-help lectures
Jaime Lannister,DS,Creating an app for 
Carrie Bradshaw,DS,Creating an app for gossiping with galpals
Anne Frank,CS,Creating a web interface for keeping a diary
Patch Adams,CSDS,Creating an app for treating the sick with jokes
Cristiano Ronaldo,CSDS,Building a service to help playing soccer
Catwoman,DS,Creating a web interface for stealing jewels
Lenny Bruce,CS,Creating a web interface for commenting on social issues
Harvey Weinstein,CS,Building a REST API for making movies
Bill Clinton,CSDS,Creating an app for chasing interns
Charlie Brown,DS,Creating an app for worrying about life
René Descartes,CSDS,Creating an app for spreading philosophy
George Soros,CSDS,Building a REST API for making billions
Frida Kahlo,CS,Building a REST API for painting colorful pictures
Captain Ahab,DS,Building a REST API for chasing a great white whale
Carl Bernstein,CSDS,Creating a web interface for following the money
Jimmy Stewart,CSDS,Creating an app for starring in Hollywood movies
Dr. Julius No,DS,Creating a web interface for collecting stamps
Ferdinand Magellan,CSDS,Building a REST API for exploring the new world
Chris Rock,CSDS,Building a service to help cross-dressing in women's clothes
Arthur Dent,DS,Creating an app for drinking tea
E.T.,DS,Creating an app for phoning home
Raymond Chandler,CS,Building a REST API for writing mystery stories
Christina Aguilera,CS,Building a service to help writing pop songs
Henry Kissinger,CS,Building a service to help brokering peace deals
George Armstrong Custer,CS,Building a REST API for developing military strategies
George Soros,CS,Creating an app for managing hedge funds
Abraham Lincoln,CS,Creating a web interface for fighting civil wars
Sam Winchester,DS,Building a REST API for hunting monsters
Modesty Blaise,DS,Creating an app for pulling capers
Tyrion Lannister,DS,Building a service to help developing political strategies
Alexander the Great,CS,Building a REST API for building empires
Cristiano Ronaldo,CSDS,Creating a web interface for playing soccer
Atticus Finch,DS,Creating a web interface for representing the disenfranchised
Kenny G,CS,Building a REST API for playing the saxophone
Arthur Dent,DS,Building a service to help drinking tea
Billy Crystal,CS,Building a REST API for doing stand-up
George Orwell,CS,Building a REST API for warning about totalitarianism
Hermione Granger,DS,Building a service to help casting magic spells
Bill Clinton,CS,Building a service to help chasing interns
Wernher von Braun,CS,Creating an app for building rocket ships
Jack Kerouac,CS,Building a REST API for writing beat fiction
Kate Moss,CS,Building a REST API for selling cosmetics
Nigella Lawson,CSDS,Building a service to help writing cook books
Clint Eastwood,CSDS,Building a service to help directing movies
Don Vito Corleone,DS,Creating a web interface for running an empire
Jack Donaghy,DS,Creating an app for running a business empire
Hedda Gabler,DS,Creating a web interface for  frowning at errant husbands
Captain Ahab,DS,Creating an app for chasing a great white whale
Jared Kushner,CS,Building a REST API for running a business empire
Steve Bannon,CSDS,Building a REST API for promoting conservative values
Yogi Berra,CSDS,Building a REST API for mangling idioms
Patch Adams,CS,Building a service to help making sick people laugh
Archimedes,CSDS,Creating an app for studying mathematics
Frank Zappa,CSDS,Creating a web interface for writing experimental songs
Chris Rock,CS,Building a REST API for cross-dressing in women's clothes
Peter Parker,DS,Building a REST API for maintaining a secret identity
E.T.,DS,Building a REST API for phoning home
Cersei Lannister,DS,Building a service to help 
Michael O'Leary,CSDS,Creating an app for promoting air travel
Raymond Chandler,CSDS,Building a service to help writing mystery stories
Ariel Sharon,CS,Creating an app for building giant walls
Dr. Julius No,DS,Creating an app for devising evil schemes
Nurse Ratched,DS,Building a service to help terrorizing employees
John Lennon,CS,Building a service to help singing pop songs
Pinocchio,DS,Building a service to help lying badly
Michelangelo,CS,Creating a web interface for painting church ceilings
Barbra Streisand,CS,Creating an app for singing torch songs
Mike Tyson,CS,Building a REST API for winning boxing matches
Ann Coulter,CS,Creating an app for ranting about liberals
Tony Robbins,CSDS,Building a REST API for giving self-help lectures
Barney Gumble,DS,Creating an app for belching
Erasmus,CS,Building a service to help promoting humanism
Barney Gumble,DS,Building a service to help burping
Henry Kissinger,CSDS,Creating an app for brokering peace deals
Johann von Goethe,CS,Building a REST API for writing about social problems
Inspector Gadget,DS,Creating an app for solving mysteries,using gadgets
Chris Rock,CS,Creating a web interface for cross-dressing in women's clothes
Ray Charles,CS,Building a REST API for singing pop songs
